Normal Atmosphere,Polluted Atmosphere,Time (sec)
145,1009,150.7
145,1009,150.8
146,1009,150.9
145,1009,151
145,1009,151.1
145,1009,151.2
145,1009,151.3
145,1009,151.4
146,1009,151.5
145,1009,151.6
146,1009,151.7
145,1009,151.8
145,1016,151.9
145,1015,152
145,1015,152.1
145,1015,152.2
145,1015,152.3
145,1015,152.4
145,1016,152.5
144,1015,152.6
145,1015,152.7
145,1014,152.8
145,1013,152.9
145,1013,153
145,1012,153.1
146,1011,153.2
145,1011,153.3
145,1010,153.4
145,1011,153.5
145,1011,153.6
145,1011,153.7
146,1011,153.8
145,1011,153.9
145,1011,154
145,1011,154.1
145,1011,154.2
145,1010,154.3
145,1010,154.4
145,1010,154.5
145,1010,154.6
145,1011,154.7
145,1011,154.8
145,1011,154.9
146,1011,155
145,1011,155.1
145,1011,155.2
145,1012,155.3
145,1011,155.4
145,1011,155.5
145,1012,155.6
145,1011,155.7
145,1011,155.8
145,1011,155.9
145,1011,156
145,1011,156.1
145,1011,156.2
145,1011,156.3
145,1011,156.4
145,1011,156.5
145,1010,156.6
145,1011,156.7
145,1011,156.8
